ux,uy,uz,p
0.4793848,0.001863845,-0.01040948,-0.009998709
0.4741597,0.002341196,-0.01108093,-0.009953077
0.4733528,0.00256126,-0.01214648,-0.009894751
0.4772663,0.002444547,-0.01330106,-0.009822885
0.5592305,-0.0006006227,-0.01552577,-0.01016041
0.5529244,-0.0004629537,-0.01417523,-0.0101379
0.5436414,-0.000157485,-0.01303206,-0.01011517
0.5326414,0.0002561579,-0.01213801,-0.01009079
0.5210512,0.0007656349,-0.01150947,-0.01006425
0.5099816,0.00136861,-0.01123262,-0.0100347
0.5008439,0.002000061,-0.01143395,-0.00999944
0.4952239,0.002517951,-0.01215375,-0.009954521
0.4943368,0.00276631,-0.01324988,-0.009896954
0.4985335,0.002654704,-0.01441077,-0.009825833
0.5838458,-0.0006162266,-0.01579918,-0.01016088
0.5772517,-0.0004509895,-0.01452181,-0.01013804
0.5675128,-0.0001171127,-0.013521,-0.01011509
0.5559899,0.0003175117,-0.0128048,-0.01009054
0.5438429,0.0008452916,-0.01234623,-0.01006395
0.5321918,0.001474769,-0.0122044,-0.01003465
0.5225238,0.00214484,-0.01250245,-0.009999974
0.5165669,0.002705031,-0.01328852,-0.009955866
0.5156648,0.002984099,-0.01442411,-0.009899191
0.5202145,0.002879171,-0.01559161,-0.009828953
0.6085286,-0.0006285808,-0.0159232,-0.01016115
0.6015995,-0.0004293867,-0.01473118,-0.01013795
0.5913715,-6.240804E-05,-0.01389751,-0.01011476
0.5793281,0.0003941354,-0.0133947,-0.01009
0.5666639,0.0009381183,-0.01314611,-0.01006334
0.5544933,0.001591593,-0.01317677,-0.0100343
0.544366,0.00229954,-0.01360173,-0.01000026
0.5381492,0.002903378,-0.01447474,-0.00995708
0.5373153,0.003215333,-0.01566038,-0.009901444
0.5423017,0.003118461,-0.0168355,-0.009832247
0.6331909,-0.000637843,-0.01588498,-0.01016121
0.6258748,-0.0003970662,-0.01478691,-0.01013761
0.6151192,9.027791E-06,-0.01414147,-0.01011414
0.6025552,0.0004891713,-0.0138855,-0.01008915
0.5894184,0.001047171,-0.01388715,-0.0100624
0.5768023,0.001721501,-0.01412987,-0.0100336
0.5663036,0.002465827,-0.01471475,-0.01000027
0.5599233,0.003114052,-0.01569789,-0.009958123
0.5592591,0.003460635,-0.01694579,-0.009903695
0.564779,0.003372812,-0.01813028,-0.00983572
0.6577401,-0.0006446144,-0.01567823,-0.01016103
0.649983,-0.0003533365,-0.01467776,-0.01013701
0.6386567,9.947929E-05,-0.01423572,-0.01011322
0.6255683,0.000605982,-0.01425553,-0.01008795
0.6120059,0.001175938,-0.01454586,-0.01006107
0.5990283,0.001867368,-0.01504081,-0.01003253
0.5882618,0.002645682,-0.01582053,-0.009999934
0.581833,0.0033382,-0.01693901,-0.009958957
0.5814571,0.003720455,-0.01826274,-0.009905923
0.5876188,0.003642032,-0.01945905,-0.009839377
0.6820796,-0.0006501132,-0.01530493,-0.01016061
0.6738295,-0.0002981513,-0.01439953,-0.01013614
0.6618869,0.0002108548,-0.01416787,-0.01011198
0.6482661,0.0007479608,-0.01448511,-0.01008638
0.6343245,0.001328241,-0.01509812,-0.01005935
0.6210762,0.002032485,-0.01588407,-0.01003104
0.6101587,0.002841376,-0.01689413,-0.009999231
0.6038125,0.003576993,-0.01817439,-0.009959549
0.6038589,0.003994939,-0.01958846,-0.009908112
0.6107785,0.003925303,-0.02079961,-0.009843228
0.7061098,-0.0006563583,-0.01477673,-0.01015997
0.6973218,-0.0002324129,-0.01395679,-0.01013501
0.6847183,0.000344343,-0.01393214,-0.01011045
0.670552,0.0009182478,-0.01455823,-0.01008446
0.6562742,0.001508054,-0.0155205,-0.0100572
0.6428488,0.002220462,-0.01663232,-0.01002911
0.631906,0.003055407,-0.01790701,-0.009998126
0.6257862,0.003831537,-0.01937551,-0.009959869
0.6263995,0.004283781,-0.02089471,-0.009910247
0.6341962,0.004220957,-0.02212413,-0.009847284
0.7297283,-0.0006663368,-0.01411562,-0.01015911
0.7203704,-0.0001582984,-0.0133641,-0.01013365
0.7070668,0.0004999992,-0.01353109,-0.01010862
0.6923379,0.001119351,-0.01446437,-0.01008218
0.6777604,0.001719231,-0.01579187,-0.01005464
0.6642494,0.002435061,-0.0172576,-0.01002673
0.6534108,0.003290378,-0.01882772,-0.009996601
0.6476681,0.00410274,-0.02050945,-0.009959898
0.6489981,0.004586037,-0.02214797,-0.009912324
0.6577873,0.004526233,-0.02339915,-0.009851561
0.7528297,-0.0006841143,-0.0133536,-0.01015807
0.7428892,-7.956219E-05,-0.01264665,-0.01013211
0.7288575,0.000676291,-0.012977,-0.01010656
0.7135468,0.00135268,-0.01420042,-0.01007958
0.6986974,0.001965131,-0.01589527,-0.01005169
0.6851848,0.002679936,-0.01773297,-0.01002391
0.674577,0.003548821,-0.01962316,-0.009994656
0.669362,0.004391153,-0.02153971,-0.009959633
0.6715558,0.00489994,-0.02331002,-0.009914343
0.6814404,0.00483707,-0.02458619,-0.009856076
0.7753049,-0.0007148382,-0.01253132,-0.01015691
0.7647942,-1.755333E-06,-0.01183979,-0.01013044
0.7500246,0.0008696556,-0.01229264,-0.01010433
0.7341146,0.001618016,-0.01377223,-0.01007671
0.7190111,0.002248156,-0.01581996,-0.01004839
0.7055689,0.002958289,-0.01803445,-0.01002069
0.6953081,0.003832959,-0.02026026,-0.009992313
0.6907623,0.004696794,-0.02242766,-0.009959083
0.6939545,0.005222744,-0.02433923,-0.009916317
0.7050155,0.005147964,-0.02564292,-0.009860856
0.7970407,-0.0007645806,-0.01169544,-0.01015566
0.7860023,6.771625E-05,-0.01098753,-0.01012871
0.7705104,0.001074141,-0.01151116,-0.010102
0.7539907,0.001912982,-0.01319581,-0.01007366
0.738641,0.002569215,-0.01556336,-0.0100448
